Comment,Toxic,SevereToxic,Obscene,threat,insult,IdentityHate
This is the best article I have read,[0.20034296],[0.21529167],[0.20184253],[0.],[0.19861979],[0.04405965]
Good morning all have a nice day!!!,[0.11924314],[0.16133333],[0.16121361],[0.225],[0.10739591],[0.02375724]
What are the plans,[0.20988879],[0.3501369],[0.33863229],[0.],[0.21648605],[0.21069622]
What are the plans,[0.20988879],[0.3501369],[0.33863229],[0.],[0.21648605],[0.21069622]
What are the plans,[0.20988879],[0.3501369],[0.33863229],[0.],[0.21648605],[0.21069622]
we are group 22 and we have done this project,[0.2947517],[0.31380357],[0.17744051],[0.04],[0.36175971],[0.12425691]
You ugly bitch ,[0.99590909],[0.94883333],[0.98124359],[0.315],[0.99232143],[0.44388704]
this is a comment used for test,[0.18656594],[0.3486369],[0.28694502],[0.],[0.18591401],[0.19326941]
"There's no need to apologize. A Wikipedia article is made for reconciling knowledge about a subject from different sources, and you've done history studies and not archaeology studies, I guess. I could scan the page, e-mail it to you, and then you could ask someone to translate the page.",[0.20969715],[0.185],[0.10413783],[0.005],[0.09374459],[0.02787313]
"""THIS IS MY PAGE FUCKERS SO I CAN SAY WHAT I WANT. FUCK YOU DRINI AND NACONKANTARI... I HOPE YOU ENJOY YOUR SCHEDULED RAPING.   p.s. done a head count lately?""",[0.915],[0.79],[0.91],[0.33],[0.86],[0.406]
THIS IS MY PAGE FUCKERS SO I CAN SAY WHAT I WANT. FUCK YOU DRINI AND NACONKANTARI... I HOPE YOU ENJOY YOUR SCHEDULED RAPING. ,[0.975],[0.79],[0.905],[0.19],[0.77],[0.42671429]
THIS IS MY PAGE FUCKERS SO I CAN SAY WHAT I WANT. FUCK YOU DRINI AND NACONKANTARI... I HOPE YOU ENJOY YOUR SCHEDULED RAPING. ,[0.975],[0.79],[0.905],[0.19],[0.77],[0.42671429]
Good morning everyone,[0.09860588],[0.43],[0.14462897],[0.01],[0.08403059],[0.07745078]
